Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
pnp	BW25113_RS16405	3302392	3304527	polynucleotide phosphorylase
trpC	BW25113_RS06580	1312684	1314045	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
nudI	BW25113_RS11760	2358033	2358458	pyrimidine deoxynucleotide diphosphatase NudI
RS24005	BW25113_RS24005	2062116	2062421	TonB-dependent receptor plug domain-containing protein
rsmF	BW25113_RS09615	1914480	1915919	16S rRNA m<sup>5</sup>C1407 methyltransferase
yhjB	BW25113_RS18245	3664652	3665254	putative DNA-binding transcriptional regulator YhjB
alaE	BW25113_RS13900	2792523	2792972	L-alanine exporter
glnQ	BW25113_RS04200	841197	841919	L-glutamine ABC transporter ATP binding subunit
elfD	BW25113_RS04870	993946	994647	putative fimbrial chaperone ElfD
ydhQ	BW25113_RS08710	1739128	1740384	putative adhesin-related protein YdhQ
loiP	BW25113_RS15250	3075272	3076030	metalloprotease LoiP
pflB	BW25113_RS04685	946728	949010	pyruvate formate-lyase
birA	BW25113_RS20615	4163010	4163975	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA
eutA	BW25113_RS12780	2558840	2560243	ethanolamine ammonia-lyase reactivase EutA
mdtD	BW25113_RS19510	3932545	3933972	multidrug transporter subunit MdtD
fimB	BW25113_RS22430	4530774	4531376	Type 1 fimbriae regulatory protein FimB
yhbS	BW25113_RS16360	3293614	3294117	putative <i>N</i>-acetyltransferase YhbS
yfeW	BW25113_RS12675	2541461	2542765	penicillin binding protein 4B
RS20645	BW25113_RS20645	4165682	4165757	tRNA-Thr
ybdD	BW25113_RS03115	627638	627835	PF04328 family protein YbdD
ytfE	BW25113_RS21870	4421138	4421800	iron-sulfur cluster repair protein YtfE
arsC	BW25113_RS18150	3643597	3644022	arsenate reductase
dtpD	BW25113_RS03670	736531	738012	dipeptide:H<sup>+</sup> symporter DtpD
RS03860	BW25113_RS03860	776221	776296	tRNA-Val
ydiB	BW25113_RS08850	1768046	1768912	quinate/shikimate dehydrogenase
yraJ	BW25113_RS16300	3282173	3284689	putative fimbrial usher protein YraJ
RS24960	BW25113_RS24960	524096	524356	hypothetical protein
yggP	BW25113_RS15230	3069538	3070815	putative zinc-binding dehydrogenase YggP
pheT	BW25113_RS08965	1789814	1792201	phenylalanine&mdash;tRNA ligase subunit &beta;
ydjG	BW25113_RS09270	1849248	1850228	NADH-dependent methylglyoxal reductase
cfa	BW25113_RS08695	1735670	1736818	cyclopropane fatty acyl phospholipid synthase
wzb	BW25113_RS10760	2129136	2129579	protein-tyrosine phosphatase
patD	BW25113_RS07580	1509835	1511259	&gamma;-aminobutyraldehyde dehydrogenase
ybgI	BW25113_RS03675	738283	739026	radiation resistance protein YbgI
rho	BW25113_RS19640	3959777	3961036	transcription termination factor Rho
ftsQ	BW25113_RS00465	99642	100472	cell division protein FtsQ
amtB	BW25113_RS02335	468422	469708	ammonium transporter
uspE	BW25113_RS06990	1391929	1392879	universal stress protein E
torD	BW25113_RS05190	1057255	1057854	trimethylamine-N-oxide reductase-specific chaperone
RS14890	BW25113_RS14890	2991051	2992187	hypothetical protein
ygiV	BW25113_RS15690	3162108	3162590	DNA-binding transcriptional repressor YgiV
yhfW	BW25113_RS17515	3501946	3503172	putative mutase YhfW
umpG	BW25113_RS14280	2862872	2863633	broad specificity 5'(3')-nucleotidase and polyphosphatase
RS21640	BW25113_RS21640	4382289	4382364	tRNA-Gly
gcvH	BW25113_RS15100	3042519	3042908	glycine cleavage system H protein
uacT	BW25113_RS15015	3024726	3026174	urate:H<sup>+</sup> symporter
rpe	BW25113_RS17545	3507741	3508418	ribulose-phosphate 3-epimerase
fsaB	BW25113_RS20480	4128974	4129636	fructose-6-phosphate aldolase 2
yqiH	BW25113_RS15815	3183240	3183989	putative fimbrial chaperone YqiH
cnu	BW25113_RS08505	1699206	1699421	H-NS- and StpA-binding protein
purE	BW25113_RS02685	548047	548556	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase
moeB	BW25113_RS04290	859836	860585	molybdopterin-synthase adenylyltransferase
yedJ	BW25113_RS10250	2025865	2026560	putative HD superfamily phosphohydrolase YedJ
pepQ	BW25113_RS19960	4024521	4025852	Xaa-Pro dipeptidase
ppx	BW25113_RS13050	2618474	2620015	exopolyphosphatase
aqpZ	BW25113_RS04540	910808	911503	water channel AqpZ
cobT	BW25113_RS10395	2056869	2057948	nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase
rplC	BW25113_RS17210	3445656	3446285	50S ribosomal protein L3
pflC	BW25113_RS20505	4136186	4137064	putative pyruvate formate-lyase 2 activating enzyme PflC
yhfK	BW25113_RS17410	3480162	3482252	FUSC family protein
kbaY	BW25113_RS16265	3276502	3277362	tagatose-1,6-bisphosphate aldolase 1
frvR	BW25113_RS20230	4081467	4083215	putative DNA-binding transcriptional regulator FrvR
mhpD	BW25113_RS01810	367571	368380	2-hydroxypentadienoate hydratase
ygeA	BW25113_RS14775	2973302	2973994	amino acid racemase YgeA
rlmG	BW25113_RS16020	3228098	3229234	23S rRNA m<sup>2</sup>G1835 methyltransferase
ppiD	BW25113_RS02285	457371	459242	periplasmic folding chaperone
yajI	BW25113_RS02135	427768	428307	putative lipoprotein YajI
cyoA	BW25113_RS02235	446119	447066	cytochrome <i>bo</i><sub>3</sub> subunit 2
ybaY	BW25113_RS02345	470835	471407	PF09619 family lipoprotein YbaY
yghA	BW25113_RS15595	3143021	3143905	NADP<sup>+</sup>-dependent aldehyde reductase
hycF	BW25113_RS14155	2837569	2838111	hydrogenase 3 iron-sulfur protein HycF
osmF	BW25113_RS11120	2212043	2212960	glycine betaine ABC transporter periplasmic binding protein OsmF
aroG	BW25113_RS03915	781089	782141	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive
chaB	BW25113_RS06350	1267575	1267805	putative cation transport regulator ChaB
fldA	BW25113_RS03535	706391	706921	flavodoxin 1
nrfC	BW25113_RS21145	4279736	4280407	cytochrome c nitrite reductase Fe-S protein
yfaX	BW25113_RS11745	2354908	2355690	putative DNA-binding transcriptional regulator YfaX
preT	BW25113_RS11195	2227512	2228750	dihydropyrimidine dehydrogenase (NAD<sup>+</sup>) subunit PreT
xdhA	BW25113_RS14905	2993665	2995962	putative xanthine dehydrogenase molybdenum-binding subunit XdhA
ymgL	BW25113_RS25535	1207996	1208106	protein YmgL
casB	BW25113_RS14355	2875514	2875996	type I-E CRISPR system Cascade subunit CasB
lipB	BW25113_RS03275	657093	657734	lipoyl(octanoyl) transferase
mltG	BW25113_RS05710	1149568	1150590	endolytic murein transglycosylase
rplJ	BW25113_RS20675	4169924	4170421	50S ribosomal subunit protein L10
hycG	BW25113_RS14150	2836802	2837569	hydrogenase 3 iron-sulfur protein HycG
cyaA	BW25113_RS19765	3984513	3987059	adenylate cyclase
arnA	BW25113_RS11780	2361518	2363500	fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase
RS07355	BW25113_RS07355	1462178	1463406	IS3-like element IS2 family transposase
manY	BW25113_RS09515	1897339	1898139	mannose-specific PTS enzyme IIC component
ybcI	BW25113_RS02705	551488	552009	PF04307 family inner membrane protein YbcI
waaG	BW25113_RS18855	3799303	3800427	lipopolysaccharide glucosyltransferase I
yhcN	BW25113_RS16785	3378897	3379160	DUF1471 domain-containing stress-induced protein YhcN
yciQ	BW25113_RS06605	1319003	1320898	DUF2207 domain-containing protein YciQ
ybhM	BW25113_RS04090	816249	816962	Bax1-I family protein YbhM
torT	BW25113_RS05170	1051717	1052745	periplasmic trimethylamine-N-oxide binding protein
ytiA	BW25113_RS22570	4553485	4553742	uncharacterized protein YtiA
iprA	BW25113_RS01935	389962	390585	putative DNA-binding transcriptional regulator IprA
yfgD	BW25113_RS13015	2610937	2611296	putative oxidoreductase YfgD
yjfZ	BW25113_RS21845	4416445	4417239	DUF2686 domain-containing protein YjfZ
kdpE	BW25113_RS03590	716512	717189	DNA-binding transcriptional activator KdpE
galE	BW25113_RS03940	786495	787511	UDP-glucose 4-epimerase
hyfG	BW25113_RS12975	2601846	2603513	hydrogenase 4 catalytic subunit HyfG
rutC	BW25113_RS05255	1067229	1067615	3-aminoacrylate deaminase
yabI	BW25113_RS00320	67838	68602	DedA family protein YabI
rpsP	BW25113_RS13620	2739296	2739544	30S ribosomal protein S16
mngR	BW25113_RS03780	760609	761331	DNA-binding transcriptional repressor MngR
ydfK	BW25113_RS08095	1627329	1627562	Qin prophage; cold shock protein YdfK
rplR	BW25113_RS17130	3438603	3438956	50S ribosomal protein L18
alpA	BW25113_RS13690	2752003	2752215	CP4-57 prophage; DNA-binding transcriptional activator AlpA
yjcE	BW25113_RS21110	4269908	4271557	putative transporter YjcE
ortT	BW25113_RS07590	1511646	1511819	orphan toxin OrtT
ygcS	BW25113_RS14415	2889892	2891301	MFS transporter
ycfK	BW25113_RS05990	1202957	1203586	e14 prophage; protein StfP
ybiR	BW25113_RS04250	849103	850221	putative transporter YbiR
fadA	BW25113_RS19950	4020969	4022132	3-ketoacyl-CoA thiolase
arsR	BW25113_RS18140	3641888	3642241	DNA-binding transcriptional repressor ArsR
ygdQ	BW25113_RS14735	2963779	2964492	TerC family protein
rluA	BW25113_RS00295	59687	60346	23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase
flgD	BW25113_RS05600	1127310	1128005	flagellar biosynthesis, initiation of hook assembly
emrA	BW25113_RS13970	2804786	2805958	multidrug efflux pump membrane fusion protein EmrA
ruvA	BW25113_RS09760	1939622	1940233	Holliday junction branch migration complex subunit RuvA
sgcE	BW25113_RS22345	4516722	4517354	KpLE2 phage-like element; putative epimerase SgcE
ybjN	BW25113_RS04425	888413	888889	protein YbjN
lpxD	BW25113_RS00895	197458	198483	UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase
rusA	BW25113_RS02830	568827	569189	DLP12 prophage; crossover junction endodeoxyribonuclease RusA
hycI	BW25113_RS14140	2835932	2836402	hydrogenase 3 maturation protease
lysS	BW25113_RS15030	3027016	3028533	lysine&mdash;tRNA ligase
prmC	BW25113_RS06310	1261550	1262383	protein-(glutamine-N5) methyltransferase
cysC	BW25113_RS14310	2866746	2867351	adenylyl-sulfate kinase
RS14640	BW25113_RS14640	2940856	2940932	tRNA-Met
fadH	BW25113_RS16000	3225024	3227042	2,4-dienoyl-CoA reductase
yciH	BW25113_RS06705	1336915	1337241	putative translation factor
uxaC	BW25113_RS16060	3236688	3238100	D-glucoronate/D-galacturonate isomerase
zraP	BW25113_RS20765	4191191	4191616	signaling pathway modulator ZraP
cdsA	BW25113_RS00875	192164	193021	CDP-diglyceride synthetase
mcrA	BW25113_RS06015	1205802	1206635	e14 prophage; Type IV methyl-directed restriction enzyme EcoKMcrA
yfeC	BW25113_RS12510	2511931	2512290	DNA-binding transcriptional dual regulator YfeC
dtd	BW25113_RS20170	4070375	4070812	D-aminoacyl-tRNA deacylase
mraZ	BW25113_RS00405	86121	86579	DNA-binding transcriptional repressor MraZ
gmm	BW25113_RS10710	2119224	2119703	GDP-mannose mannosyl hydrolase
nudG	BW25113_RS09200	1835747	1836154	5-hydroxy-CTP diphosphatase
nlpA	BW25113_RS19010	3832535	3833353	lipoprotein NlpA
sbcC	BW25113_RS02055	408063	411209	ATP-dependent structure-specific DNA nuclease - SbcC subunit
prpR	BW25113_RS01700	342568	344154	DNA-binding transcriptional dual regulator PrpR
RS12285	BW25113_RS12285	2465023	2465541	hypothetical protein
nrfA	BW25113_RS21135	4277692	4279128	cytochrome <i>c</i><sub>552</sub> nitrite reductase
ompT	BW25113_RS02925	580136	581089	DLP12 prophage; omptin family outer membrane protease OmpT
glnP	BW25113_RS04205	841916	842575	L-glutamine ABC transporter membrane subunit
nfeR	BW25113_RS15950	3210138	3210761	DNA-binding transcriptional repressor NfeR
ycdX	BW25113_RS05380	1094335	1095072	zinc-binding phosphatase YcdX
gyrB	BW25113_RS19230	3871065	3873479	DNA gyrase subunit B
epmA	BW25113_RS21595	4372460	4373437	EF-P-lysine lysyltransferase
waaO	BW25113_RS18835	3795399	3796418	UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase
rnpB	BW25113_RS23140	3263575	3263951	RNase P RNA component class A
paaJ	BW25113_RS07330	1455150	1456355	&beta;-ketoadipyl-CoA thiolase
glnS	BW25113_RS03505	701549	703213	glutamine&mdash;tRNA ligase
dctR	BW25113_RS18175	3648043	3648573	putative DNA-binding transcriptional regulator DctR
lacA	BW25113_RS01755	356960	357571	galactoside <i>O</i>-acetyltransferase
yegH	BW25113_RS10770	2131383	2132966	TerC family protein
frwB	BW25113_RS20495	4133552	4133872	putative PTS enzyme IIB component FrwB
yeeO	BW25113_RS10365	2051684	2053327	FMN/FAD exporter
ydhF	BW25113_RS08620	1718993	1719889	putative oxidoreductase YdhF
yhjY	BW25113_RS18410	3705596	3706294	putative outer membrane protein YhjY
menE	BW25113_RS11810	2367127	2368482	<i>o</i>-succinylbenzoate&mdash;CoA ligase
leuO	BW25113_RS00380	80855	81799	DNA-binding transcriptional dual regulator LeuO
RS23090	BW25113_RS23090	1282344	1282475	RtT sRNA
fliK	BW25113_RS10160	2011867	2012994	flagellar hook-length control protein
gshA	BW25113_RS13985	2808242	2809798	glutamate&mdash;cysteine ligase
rbsC	BW25113_RS19490	3928648	3929613	ribose ABC transporter membrane subunit
ygcU	BW25113_RS14420	2891323	2892777	FAD-binding oxidoreductase
galP	BW25113_RS15285	3081643	3083037	galactose:H<sup>+</sup> symporter
qseB	BW25113_RS15700	3163187	3163846	DNA-binding transcriptional activator QseB
dgcI	BW25113_RS04330	870791	872119	putative diguanylate cyclase DgcI
bsmA	BW25113_RS21765	4406258	4406587	DUF1471 domain-containing putative lipoprotein BsmA
yqcA	BW25113_RS14510	2915894	2916343	putative flavodoxin YqcA
yjdJ	BW25113_RS21440	4341902	4342174	putative <i>N</i>-acetyltransferase YjdJ
rffC	BW25113_RS19680	3967827	3968501	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase
rapZ	BW25113_RS16610	3340474	3341328	RNase adaptor protein RapZ
yagG	BW25113_RS01385	281106	282488	MFS transporter
ubiK	BW25113_RS15790	3178199	3178489	ubiquinone biosynthesis accessory factor UbiK
ftnA	BW25113_RS09970	1982197	1982694	ferritin iron storage protein
rhaS	BW25113_RS20265	4087664	4088500	DNA-binding transcriptional activator RhaS
ybaK	BW25113_RS02485	502059	502538	Cys-tRNA<sup>Pro</sup>/Cys-tRNA<sup>Cys</sup> deacylase YbaK
leuS	BW25113_RS03335	667657	670239	leucine&mdash;tRNA ligase
rpmI	BW25113_RS08985	1794059	1794256	50S ribosomal protein L35
mltD	BW25113_RS01060	229084	230442	membrane-bound lytic murein transglycosylase D
ycaO	BW25113_RS04695	950328	952088	ribosomal protein S12 methylthiotransferase accessory factor YcaO
rutR	BW25113_RS05270	1069698	1070336	DNA-binding transcriptional dual regulator RutR
ydiL	BW25113_RS08835	1764872	1765228	DUF1870 domain-containing protein YdiL
yqcC	BW25113_RS14520	2917143	2917472	DUF446 domain-containing protein YqcC
minD	BW25113_RS06115	1220005	1220817	Z-ring positioning protein MinD
yfcF	BW25113_RS12020	2413320	2413964	glutathione <i>S</i>-transferase YfcF
yejB	BW25113_RS11370	2267658	2268752	putative oligopeptide ABC transporter membrane subunit YejB
rpmG	BW25113_RS18880	3804610	3804777	50S ribosomal protein L33
mdfA	BW25113_RS04370	879129	880361	multidrug efflux pump MdfA / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter
racR	BW25113_RS07115	1414022	1414498	Rac prophage; DNA-binding transcriptional repressor RacR
hcr	BW25113_RS04525	906638	907606	NADH oxidoreductase
yajR	BW25113_RS02210	440758	442122	putative transport protein YajR
pspD	BW25113_RS06850	1363650	1363871	phage shock protein D
glsA	BW25113_RS02505	507097	508029	glutaminase 1
nanT	BW25113_RS16715	3364443	3365933	<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter
yeaW	BW25113_RS09430	1878922	1880046	carnitine monooxygenase subunit YeaW
apt	BW25113_RS02425	486868	487419	adenine phosphoribosyltransferase
djlA	BW25113_RS00285	57364	58179	co-chaperone protein DjlA
RS07895	BW25113_RS07895	1584591	1584799	helix-turn-helix transcriptional regulator
uxuB	BW25113_RS22495	4542718	4544178	D-mannonate oxidoreductase
ybiB	BW25113_RS04155	830704	831666	nonspecific DNA-binding protein YbiB
rem	BW25113_RS08190	1638908	1639159	Qin prophage; protein Rem
RS18035	BW25113_RS18035	3617247	3617597	lyase
folX	BW25113_RS12030	2414804	2415166	dihydroneopterin triphosphate 2'-epimerase
tadA	BW25113_RS13340	2690713	2691216	tRNA adenosine<sup>34</sup> deaminase
yqiB	BW25113_RS15740	3170217	3170639	DUF1249 domain-containing protein YqiB
ykfF	BW25113_RS01260	261015	261254	CP4-6 prophage; protein YkfF
purC	BW25113_RS12915	2590264	2590977	phosphoribosylaminoimidazole-succinocarboxamide synthase
obgE	BW25113_RS16500	3323941	3325113	GTPase ObgE
ddlA	BW25113_RS01970	395285	396379	D-alanine&mdash;D-alanine ligase A
dtpB	BW25113_RS18105	3634222	3635691	dipeptide/tripeptide:H<sup>+</sup> symporter DtpB
hisH	BW25113_RS10570	2088016	2088606	imidazole glycerol phosphate synthase subunit HisH
ycdU	BW25113_RS05360	1091299	1092285	uncharacterized protein YcdU
ebgR	BW25113_RS15970	3214825	3215808	DNA-binding transcriptional repressor EbgR
yaeQ	BW25113_RS00955	210778	211323	uncharacterized protein YaeQ
ligB	BW25113_RS18935	3812848	3814530	DNA ligase B
yegU	BW25113_RS10950	2173574	2174578	putative ADP-ribosylglycohydrolase YegU
psd	BW25113_RS21620	4379209	4380177	phosphatidylserine decarboxylase proenzyme
dhaL	BW25113_RS06240	1244581	1245213	dihydroxyacetone kinase subunit L
